id	year	state	food_cost	insurance_cost	healthcare_cost	housing_cost	transportation_cost	other_cost	state_tax_rate	pop	fica_tax_rate	federal_income_tax_rate	rate
2130	2014	AK	3264.4857708	1292.0	2528.38639087	8892	3965.86916832	2195.29056463	0.0	13477.0	0.0765	0.0534	25013.7622377
2150	2014	AK	3264.4857708	1292.0	2528.38639087	9816	3965.86916832	2195.29056463	0.0	13592.0	0.0765	0.0534	26057.7898377
2164	2014	AK	3264.4857708	1292.0	2528.38639087	7188	3965.86916832	2195.29056463	0.0	1631.0	0.0765	0.0534	23088.4126377
2170	2014	AK	3264.4857708	1292.0	2528.38639087	9804	3965.86916832	2195.29056463	0.0	88995.0	0.0765	0.0534	26044.2310377
2180	2014	AK	3264.4857708	1292.0	2528.38639087	12060	3965.86916832	2195.29056463	0.0	9492.0	0.0765	0.0534	28593.2854377
2185	2014	AK	3264.4857708	1292.0	2528.38639087	9468	3965.86916832	2195.29056463	0.0	9430.0	0.0765	0.0534	25664.5846377
2188	2014	AK	3264.4857708	1292.0	2528.38639087	11544	3965.86916832	2195.29056463	0.0	7523.0	0.0765	0.0534	28010.2570377
2195	2014	AK	3264.4857708	1292.0	2528.38639087	7344	3965.86916832	2195.29056463	0.0	3815.0	0.0765	0.0534	23264.6770377
2198	2014	AK	3264.4857708	1292.0	2528.38639087	6432	3965.86916832	2195.29056463	0.0	5559.0	0.0765	0.0534	22234.2082377
2220	2014	AK	3264.4857708	1292.0	2528.38639087	10056	3965.86916832	2195.29056463	0.0	8881.0	0.0765	0.0534	26328.9658377
2230	2014	AK	3264.4857708	1292.0	2528.38639087	11328	3965.86916832	2195.29056463	0.0	968.0	0.0765	0.0534	27766.1986377
2240	2014	AK	3264.4857708	1292.0	2528.38639087	8388	3965.86916832	2195.29056463	0.0	7029.0	0.0765	0.0534	24444.2926377
2261	2014	AK	3264.4857708	1292.0	2528.38639087	8244	3965.86916832	2195.29056463	0.0	9636.0	0.0765	0.0534	24281.5870377
2270	2014	AK	3264.4857708	1292.0	2528.38639087	7344	3965.86916832	2195.29056463	0.0	7459.0	0.0765	0.0534	23264.6770377
2275	2014	AK	3264.4857708	1292.0	2528.38639087	7524	3965.86916832	2195.29056463	0.0	2369.0	0.0765	0.0534	23468.0590377
2282	2014	AK	3264.4857708	1292.0	2528.38639087	6696	3965.86916832	2195.29056463	0.0	662.0	0.0765	0.0534	22532.5018377
2290	2014	AK	3264.4857708	1292.0	2528.38639087	7068	3965.86916832	2195.29056463	0.0	5588.0	0.0765	0.0534	22952.8246377
4001	2014	AZ	3623.57920559	1101.0	2528.38639087	5652	3965.86916832	2195.29056463	0.000288	71518.0	0.0765	0.0534	21548.3060538
4003	2014	AZ	3623.57920559	1101.0	2528.38639087	7944	3965.86916832	2195.29056463	0.000288	131346.0	0.0765	0.0534	24138.6969498
4005	2014	AZ	3623.57920559	1101.0	2528.38639087	9792	3965.86916832	2195.29056463	0.000288	134421.0	0.0765	0.0534	26227.2843738
4007	2014	AZ	3623.57920559	1101.0	2528.38639087	6444	3965.86916832	2195.29056463	0.000288	53597.0	0.0765	0.0534	22443.4149498
4009	2014	AZ	3623.57920559	1101.0	2528.38639087	6504	3965.86916832	2195.29056463	0.000288	37220.0	0.0765	0.0534	22511.2262298
4011	2014	AZ	3623.57920559	1101.0	2528.38639087	5652	3965.86916832	2195.29056463	0.000288	8437.0	0.0765	0.0534	21548.3060538
4012	2014	AZ	3623.57920559	1101.0	2528.38639087	5880	3965.86916832	2195.29056463	0.000288	20489.0	0.0765	0.0534	21805.9889178
4013	2014	AZ	3623.57920559	1101.0	2528.38639087	9288	3965.86916832	2195.29056463	0.000288	3817117.0	0.0765	0.0534	25657.6696218
4015	2014	AZ	3623.57920559	1101.0	2528.38639087	7044	3965.86916832	2195.29056463	0.000288	200186.0	0.0765	0.0534	23121.5277498
4017	2014	AZ	3623.57920559	1101.0	2528.38639087	5868	3965.86916832	2195.29056463	0.000288	107449.0	0.0765	0.0534	21792.4266618
4019	2014	AZ	3623.57920559	1101.0	2528.38639087	7596	3965.86916832	2195.29056463	0.000288	980263.0	0.0765	0.0534	23745.3915258
4021	2014	AZ	3623.57920559	1101.0	2528.38639087	9288	3965.86916832	2195.29056463	0.000288	375770.0	0.0765	0.0534	25657.6696218
4023	2014	AZ	3623.57920559	1101.0	2528.38639087	6432	3965.86916832	2195.29056463	0.000288	47420.0	0.0765	0.0534	22429.8526938
4025	2014	AZ	3623.57920559	1101.0	2528.38639087	7440	3965.86916832	2195.29056463	0.000288	211033.0	0.0765	0.0534	23569.0821978
4027	2014	AZ	3623.57920559	1101.0	2528.38639087	7380	3965.86916832	2195.29056463	0.000288	195751.0	0.0765	0.0534	23501.2709178
5001	2014	AR	3035.97176684	962.0	2528.38639087	5160	3965.86916832	2195.29056463	0.00025	19019.0	0.0765	0.0534	20170.3723441
5003	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	21853.0	0.0765	0.0534	19966.9453441
5005	2014	AR	3035.97176684	962.0	2528.38639087	5364	3965.86916832	2195.29056463	0.00025	41513.0	0.0765	0.0534	20400.9229441
5007	2014	AR	3035.97176684	962.0	2528.38639087	6396	3965.86916832	2195.29056463	0.00025	221339.0	0.0765	0.0534	21567.2377441
5009	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	36903.0	0.0765	0.0534	19966.9453441
5011	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	11508.0	0.0765	0.0534	19966.9453441
5013	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	5368.0	0.0765	0.0534	19966.9453441
5015	2014	AR	3035.97176684	962.0	2528.38639087	5748	3965.86916832	2195.29056463	0.00025	27446.0	0.0765	0.0534	20834.9005441
5017	2014	AR	3035.97176684	962.0	2528.38639087	5004	3965.86916832	2195.29056463	0.00025	11800.0	0.0765	0.0534	19994.0689441
5019	2014	AR	3035.97176684	962.0	2528.38639087	5160	3965.86916832	2195.29056463	0.00025	22995.0	0.0765	0.0534	20170.3723441
5021	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	16083.0	0.0765	0.0534	19966.9453441
5023	2014	AR	3035.97176684	962.0	2528.38639087	5460	3965.86916832	2195.29056463	0.00025	25970.0	0.0765	0.0534	20509.4173441
5025	2014	AR	3035.97176684	962.0	2528.38639087	5868	3965.86916832	2195.29056463	0.00025	8689.0	0.0765	0.0534	20970.5185441
5027	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	24552.0	0.0765	0.0534	19966.9453441
5029	2014	AR	3035.97176684	962.0	2528.38639087	5496	3965.86916832	2195.29056463	0.00025	21273.0	0.0765	0.0534	20550.1027441
5031	2014	AR	3035.97176684	962.0	2528.38639087	5964	3965.86916832	2195.29056463	0.00025	96443.0	0.0765	0.0534	21079.0129441
5033	2014	AR	3035.97176684	962.0	2528.38639087	5496	3965.86916832	2195.29056463	0.00025	61948.0	0.0765	0.0534	20550.1027441
5035	2014	AR	3035.97176684	962.0	2528.38639087	7896	3965.86916832	2195.29056463	0.00025	50902.0	0.0765	0.0534	23262.4627441
5037	2014	AR	3035.97176684	962.0	2528.38639087	5544	3965.86916832	2195.29056463	0.00025	17870.0	0.0765	0.0534	20604.3499441
5039	2014	AR	3035.97176684	962.0	2528.38639087	5676	3965.86916832	2195.29056463	0.00025	8116.0	0.0765	0.0534	20753.5297441
5041	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	13008.0	0.0765	0.0534	19966.9453441
5043	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	18509.0	0.0765	0.0534	19966.9453441
5045	2014	AR	3035.97176684	962.0	2528.38639087	7380	3965.86916832	2195.29056463	0.00025	113237.0	0.0765	0.0534	22679.3053441
5047	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	18125.0	0.0765	0.0534	19966.9453441
5049	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	12245.0	0.0765	0.0534	19966.9453441
5051	2014	AR	3035.97176684	962.0	2528.38639087	6984	3965.86916832	2195.29056463	0.00025	96024.0	0.0765	0.0534	22231.7659441
5053	2014	AR	3035.97176684	962.0	2528.38639087	5676	3965.86916832	2195.29056463	0.00025	17853.0	0.0765	0.0534	20753.5297441
5055	2014	AR	3035.97176684	962.0	2528.38639087	5496	3965.86916832	2195.29056463	0.00025	42090.0	0.0765	0.0534	20550.1027441
5057	2014	AR	3035.97176684	962.0	2528.38639087	5508	3965.86916832	2195.29056463	0.00025	22609.0	0.0765	0.0534	20563.6645441
5059	2014	AR	3035.97176684	962.0	2528.38639087	5676	3965.86916832	2195.29056463	0.00025	32923.0	0.0765	0.0534	20753.5297441
5061	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	13789.0	0.0765	0.0534	19966.9453441
